"","edad","altura","sexo"
"1",27.7935415707456,160.533081215376,"hombre"
"2",20.6464386758047,153.48381432735,"hombre"
"3",28.5753249344164,162.549722751911,"hombre"
"4",22.304581029946,155.150955305429,"mujer"
"5",26.1204089871973,157.246530373916,"mujer"
"6",21.7990691352868,169.07964322225,"mujer"
"7",22.0038572529703,146.821172917108,"mujer"
"8",20.5534135797256,162.444380344755,"mujer"
"9",28.9345656840154,166.011533621667,"hombre"
"10",22.4892523911462,164.056761941489,"mujer"
"11",23.5067795078184,154.502956539664,"hombre"
"12",24.1889352224726,165.353865722849,"mujer"
"13",20.7668655891826,163.779608495637,"mujer"
"14",26.2690746053496,162.286919138764,"hombre"
"15",22.1323211073841,177.445508584233,"hombre"
"16",24.4756283052251,163.412329219929,"mujer"
"17",24.3906674376652,158.775031676604,"hombre"
"18",24.1079054081874,142.467527784595,"mujer"
"19",23.4432012705005,174.313372134142,"hombre"
"20",22.7695882676879,148.393599290752,"mujer"
"21",30.8447798266926,147.853323462182,"mujer"
"22",26.039809991525,146.984638264254,"hombre"
"23",23.8998255916816,184.001089405257,"mujer"
"24",21.2665925699738,170.877388474752,"mujer"
"25",26.8430114200723,152.91623391723,"mujer"
"26",27.5823530221477,160.196046648298,"hombre"
"27",22.9230687481803,159.275612438962,"mujer"
"28",20.6192712192231,172.769733866856,"hombre"
"29",21.0797078437199,159.25419142233,"mujer"
"30",21.8981974137994,173.527114655793,"mujer"
"31",21.5176432070213,165.982275915407,"mujer"
"32",22.2410488931471,169.365696740338,"mujer"
"33",24.6113373393987,168.168620443136,"mujer"
"34",30.2504234281357,166.689645273851,"hombre"
"35",25.0286926223113,162.659327462615,"mujer"
"36",25.1278568484835,152.040037329253,"hombre"
"37",20.9065173987458,167.365234789102,"mujer"
"38",21.9264020056317,175.631851760895,"mujer"
"39",23.2218827425942,154.344871373466,"mujer"
"40",21.6589098195785,161.028241056514,"mujer"
"41",25.4841950657467,174.099202897136,"mujer"
"42",22.175907454169,163.847372921972,"hombre"
"43",25.7440380922555,158.007079828277,"mujer"
"44",24.9675192798106,165.144453095816,"hombre"
"45",22.7419847975404,159.753140885092,"mujer"
"46",21.1936586755572,163.945835281736,"hombre"
"47",26.80326224265,149.89198466672,"mujer"
"48",30.9366649650829,169.007088236724,"mujer"
"49",27.6630531309259,150.487286383751,"hombre"
